cluster,n_customers,share,median_ACTUAL_CLTV,mean_ACTUAL_CLTV,median_CURRENT_YEAR_FAP,mean_CURRENT_YEAR_FAP,median_FUTURE_LIFETIME_VALUE,mean_FUTURE_LIFETIME_VALUE,median_ACTUAL_LIFETIME_DURATION,mean_ACTUAL_LIFETIME_DURATION,median_NUM_CROSS_SOLD_LY,mean_NUM_CROSS_SOLD_LY,median_CLM_OVER_PROFIT_HITCOUNT,mean_CLM_OVER_PROFIT_HITCOUNT,mode_CUSTOMER_SEGMENT,mode_CUSTOMER_PORTFOLIO,mode_ACTIVE_CUSTOMER,mean_CURRENT_GWP,mean_LAST_YEAR_GWP,mean_GEP_FIN_FULL,mean_GEC_FIN_FULL,mean_CLM_INC_FULL,mean_WEIGHTED_PLAN_LOSS_RATIO,mean_ACTUAL_LOSS_RATIO,mean_EXPECTED_LIFETIME_VALUE,mean_TOTAL_SCORE,mean_INSP_FLAG,product_index
8,377,0.002274496081471605,281.74,818.5328116710875,547.2,550.3540053050398,1382.2992708,1392.4012802120874,3.9,7.63819628647215,1.0,1.0106100795755968,0.0,0.021220159151193633,E,MID,Y,1537.3294551282052,671.8931944444445,2202.0521548821544,311.1687878787879,7117.189,0.04940844071833721,0.03624853169157602,2210.934091883175,23.787798408488065,,2.1148603805233788
63,361,0.0021779657437964177,6395.46,6332.452770083103,,,,,4.0,4.0,0.0,0.0,0.0,0.0,F,MID,N,,-102.11612244897958,8641.843407202216,1689.559972299169,521.4068421052631,0.5953544550520079,0.017057900669564578,6332.452770083103,22.0,,0.0
95,355,0.002141766867168222,796.24,796.8458028169015,,,,,2.0,2.0,0.0,0.0,0.0,0.0,F,MID,N,,-168.6562068965517,1501.7089859154928,330.33154929577466,169.425,0.5258065352117157,0.007248009612994244,796.8458028169015,20.0,,0.0
88,343,0.0020693691139118315,24.79,25.04008746355685,,,,,0.0,0.0,0.0,0.0,0.0,0.0,F,MID,N,,28.25,183.23475218658893,0.09139941690961806,,0.014391618253190729,0.0,25.04008746355685,19.0,,0.0
66,312,0.0018823415846661558,0.0,0.45842948717948717,,,,,4.0,4.0,0.0,0.0,0.0,0.0,F,MID,N,,,3.6663879598662223,0.7691973244147151,21.781176470588235,0.08857491728340773,0.002872552031453157,0.45842948717948717,18.28205128205128,,0.0
58,307,0.0018521758541426598,2319.73,2307.7562790697675,,,,,5.0,5.0,0.0,0.0,0.0,0.0,F,MID,N,,-65.58764705882352,3539.727441860465,740.4916279069768,4061.9247727272727,0.1548845698781453,0.005410141879571373,646.4724429967426,18.560260586319217,,0.0
60,292,0.0017616786625721714,108.545,112.56359589041095,,,,,5.0,5.0,0.0,0.0,0.0,0.0,F,MID,N,,68.11800000000001,771.8879794520548,154.72808219178083,206.70999999999998,0.05944044168656207,0.003332822996999596,112.56359589041095,20.0,,0.0
93,286,0.0017254797859439762,1653.245,1637.781188811189,,,,,2.0,2.0,0.0,0.0,0.0,0.0,F,MID,N,,-72.9635,2493.9165384615385,595.3393356643356,291.8712121212121,0.5636968067505769,0.008896716489347197,1637.781188811189,20.0,,0.0
22,285,0.001719446639839277,1105.0,2707.2685614035086,1300.0,1285.9886315789474,0.0,0.0,1.2,3.2361403508771933,0.0,0.08070175438596491,0.0,0.12982456140350876,F,MID,N,145.98350393700787,1304.8366396761135,6215.243359374999,828.758046875,12317.161956520433,0.4908415761253923,0.6195604475207855,2707.2685614035086,20.694736842105264,,0.1688811010684553
42,283,0.0017073803476298785,336.62,940.1454416961132,250.0,250.70925795053003,174.80794710504577,172.404994158406,2.5,3.875265017667844,1.0,0.9893992932862191,0.0,0.04946996466431095,E,MID,Y,243.79291338582678,216.98408256880734,1915.955707762557,447.7464383561644,4920.490625,0.3947357289580324,0.2937504428064972,1112.550435854519,22.925795053003533,,2.070473477533067
